Dept,Number,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
BIOE,101,Intro to Bioengineering,15,5,7,3,3,0,0,0,0,6,Eddington
BIOE,102,Bioengineering Freshman Smnr,0,0,0,0,0,0,45,0,0,3,Shokuhfar
BIOE,205,Biothermodynamics,14,12,3,2,0,0,0,0,0,5,Ganjeh
BIOE,240,Modeling Data and Systems,9,11,9,5,0,0,0,0,0,5,Esmailbeigi
BIOE,250,Problems in Bioengineering,34,6,0,0,0,0,0,0,0,1,Felder
BIOE,310,Biosystems Analysis,18,7,12,2,1,0,0,0,0,0,Royston
BIOE,325,Biotransport,10,2,10,1,0,0,0,0,0,1,Lee
BIOE,339,Biostatistics I,11,14,10,0,1,1,0,0,0,2,Dai
BIOE,397,Senior Design II,12,3,0,0,0,0,0,0,0,0,Felder
BIOE,397,Senior Design II,15,28,5,0,0,0,0,0,0,0,Layton
BIOE,399,Prof Develop for Bioengineers,0,0,0,0,0,0,0,57,0,0,Esmailbeigi
BIOE,410,Medical Device Requirements,37,8,1,0,0,0,0,0,0,0,Bogdanowicz
BIOE,430,Bioinstrumentation I,23,19,0,0,0,0,0,0,0,1,Magin
BIOE,431,Bioinstrumentation I Lab,13,17,3,0,1,0,0,0,0,0,Esmailbeigi
BIOE,455,Intro to Cell & Tissue Engr,14,9,4,2,1,0,0,0,0,0,Felder
BIOE,456,Cell & Tissue Laboratory,21,6,4,2,1,0,0,0,0,0,Khetani
BIOE,460,Biomaterials,9,16,5,1,0,0,0,0,0,1,Rahaman
BIOE,475,Neural Engineering I,7,8,3,0,1,0,0,0,0,0,Hetling
BIOE,476,Neural Engineering Lab,20,0,0,0,0,0,0,0,0,1,Hetling
BIOE,485,Nanobiosensors,10,0,0,0,0,0,0,0,0,0,Stroscio
BIOE,494,Wearables Technology Lab,8,0,0,0,0,0,0,0,0,2,Esmailbeigi
BIOE,540,Biological Signal Analysis,10,1,0,0,0,0,0,0,0,0,Liao
BIOE,548,Nanoscale Bioengineering,12,1,0,0,0,0,0,0,0,0,Papautsky
BIOE,580,Bioinformatics II,4,1,4,0,0,0,0,0,0,1,Liang
BIOE,595,Seminar on Bioengineering,0,0,0,0,0,0,0,10,0,1,Takoudis
CHE,201,Intro to Thermodynamics,3,10,6,1,2,0,0,0,0,2,Zdunek
CHE,205,Computational Methods in ChE,15,6,8,3,5,1,0,0,0,5,Nitsche
CHE,210,Material & Energy Balances,17,10,11,1,2,0,0,0,0,2,Wedgewood
CHE,301,Chem Engr Thermodynamics,14,5,8,0,0,0,0,0,0,2,Caracotsios
CHE,311,Transport Phenomena I,5,5,10,4,1,1,0,0,0,2,Liu
CHE,312,Transport Phenomena II,20,32,5,3,0,0,0,0,0,1,Sharma
CHE,313,Transport Phenomena III,8,15,19,5,0,0,0,0,0,0,Kim
CHE,321,Chemical Reaction Engr,15,28,14,3,3,1,0,0,0,1,Berry
CHE,341,Chemical Process Control,63,0,0,0,1,0,0,0,0,0,Caracotsios
CHE,382,Chem Engr Lab II,32,0,0,0,1,0,0,0,0,0,Ferdous
CHE,382,Chem Engr Lab II,19,13,0,0,0,0,0,0,0,0,Zdunek
CHE,397,Senior Design II,43,15,5,0,1,0,0,0,0,0,Bilgin
CHE,431,Numerical Methods In Chem Engr,22,2,1,0,0,0,0,0,0,1,Mehraeen
CHE,494,Solar Fuel Engineering,7,5,0,0,0,0,0,0,0,0,Singh
CHE,511,Adv Mass Transfer,9,12,0,0,0,0,0,0,0,0,Takoudis
CHE,527,Adv Chemical Reaction Engr,16,9,0,1,0,0,0,0,0,0,Liu
CHE,595,Advances In Chem Engr Research,13,0,0,0,0,0,0,0,0,0,Sharma
CME,201,Statics,10,9,16,23,33,0,0,0,0,5,Ataei
CME,203,Strength Of Materials,54,50,30,11,3,0,0,0,0,4,Mahamid
CME,205,Structural Analysis I,6,5,11,4,0,0,0,0,0,1,Foster
CME,211,Fluid Mechanics and Hydraulics,15,17,8,1,2,0,0,0,0,2,Schulenberg
CME,260,Properties Of Materials,29,33,45,4,4,0,0,0,0,4,McNallan
